景区直播,#genre#
广东江門 - 都斛鎮,http://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8

张家界水绕四门,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
张家界将军列队,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8
张家界迷魂台,https://gcalic.v.myalicdn.com/gc/zjjmht_1/index.m3u8
张家界宝峰湖,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8
张家界御笔峰,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
张家界阿凡达悬浮山,https://gcalic.v.myalicdn.com/gc/zjjafdxfs_1/index.m3u8
天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
天门山天门洞,https://gcalic.v.myalicdn.com/gc/tmstmd01_1/index.m3u8
天门山天空步道,https://gcalic.v.myalicdn.com/gc/tms02_1/index.m3u8
天门山云梦仙顶,https://gcalic.v.myalicdn.com/gc/tms04_1/index.m3u8

凤凰古城南华山,https://gcalic.v.myalicdn.com/gc/fhgcdnhs_1/index.m3u8

岳阳楼,http://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
陕西洋县国宝朱鹮 02,https://gcalic.v.myalicdn.com/gc/zh02_1/index.m3u8
陕西洋县国宝朱鹮 03,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
湖南湘西州 - 鳳凰古城,http://gcalic.v.myalicdn.com/gc/fhgcdnhs_1/index.m3u8
湖南張家界 - 寶峰湖,http://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8

峨眉山云海日出,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
峨眉山远眺贡嘎雪山,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
峨眉山普贤菩萨铜像,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
峨眉山远眺万佛顶,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8

四姑娘山隆珠措,https://gcalic.v.myalicdn.com/gc/sgns02_1/index.m3u8
四姑娘山幺妹峰,https://gcalic.v.myalicdn.com/gc/sgns01_1/index.m3u8

五彩池,https://gcalic.v.myalicdn.com/gc/hlwcc_1/index.m3u8
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
望乡台,https://gcalic.v.myalicdn.com/gc/hlwxt_1/index.m3u8
洗身洞,https://gcalic.v.myalicdn.com/gc/hlxsd_1/index.m3u8
九寨溝诺日朗瀑布,http://gcalic.v.myalicdn.com/gc/zsslsfwsgz_1/index.m3u8

乐山大佛全景,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8

都江堰大熊猫 24 小时,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
都江堰大熊猫 B,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao12_2/index.m3u8
都江堰大熊猫 D,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao14_2/index.m3u8
都江堰大熊猫 E,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao15_2/index.m3u8
都江堰大熊猫 F,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao16_2/index.m3u8
都江堰大熊猫 G,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao20_2/index.m3u8
禄禄,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao11_2/index.m3u8
妃妃,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao13_2/index.m3u8
母子园 A,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao07_2/index.m3u8
母子园 B,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao08_2/index.m3u8
一号别墅 A,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao09_2/index.m3u8
一号别墅 B,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao10_2/index.m3u8
iPanda 都江堰,http://gcalic.v.myalicdn.com/gc/ipanda1000_1/index.m3u8
iPanda 都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
iPanda 基地成年园 2,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
iPanda 怡然 2,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
大丰麋鹿国家级自然保护区,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao23_2/index.m3u8

四川西昌邛海景区,https://gcalic.v.myalicdn.com/gc/xcqh01_1/index.m3u8
成都 - 錦江,http://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8

新疆天山 (定海神针),https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8
新疆天山 (马牙山),https://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8
新疆天山 (灯杆山),https://gcalic.v.myalicdn.com/gc/xjtcdgs_1/index.m3u8
天山海西平台,https://gcalic.v.myalicdn.com/gc/xjtchxpt_1/index.m3u8
新疆伊利 - 那拉提空中草原,http://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8
新疆阜康 - 天山天池,http://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8

玉龙雪山,https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8
蓝月谷,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
白沙远眺玉龙雪山,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8
玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
玉龙雪山冰川,https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
印象实景,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
玉液湖,https://gcalic.v.myalicdn.com/gc/hkylxs02_1/index.m3u8
白水台,https://gcalic.v.myalicdn.com/gc/hkylxs07_1/index.m3u8
蓝月谷中游湖面,https://gcalic.v.myalicdn.com/gc/hkylxs08_1/index.m3u8
高尔夫,https://gcalic.v.myalicdn.com/gc/hkylxs09_1/index.m3u8

大研花巷观景,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8
大水车,https://gcalic.v.myalicdn.com/gc/ljgcdsc_1/index.m3u8
万古楼遥望玉龙雪山,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
狮子山鸟瞰古城,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8

大理崇圣寺三塔中景,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
大理崇圣寺三塔远景,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8
大理崇圣寺三塔湖面,https://gcalic.v.myalicdn.com/gc/dlst02_1/index.m3u8

建水双龙桥,https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8
云南保山 - 中寨司莫拉佤族村,http://gcalic.v.myalicdn.com/gc/hnttbdjd_1/index.m3u8
云南红河哈尼梯田多依树,https://gcalic.v.myalicdn.com/gc/hnttdysjd_1/index.m3u8
云南红河哈尼梯田普高老寨,https://gcalic.v.myalicdn.com/gc/hnttpgsz_1/index.m3u8
云南红河哈尼梯田老虎嘴,https://gcalic.v.myalicdn.com/gc/hnttlhzjd_1/index.m3u8

黄山卧云峰,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8
黄山始信新道,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
黄山排云亭,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8
黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8
黄山全景,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
黄山梦笔生花,https://gcalic.v.myalicdn.com/gc/hsmbsh_1/index.m3u8
黄山平天矼,https://gcalic.v.myalicdn.com/gc/hsptgz_1/index.m3u8
黄山光明顶,https://gcalic.v.myalicdn.com/gc/hsgmd_1/index.m3u8
安徽黃山 - 臥雲峰,http://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8

泰山主峰,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8
泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8
泰山十八盘,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8
泰山南天门,https://gcalic.v.myalicdn.com/gc/hkts07_1/index.m3u8
泰山白云亭悬崖,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
泰山太平岭,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
泰山碧霞祠,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
泰山天街,https://gcalic.v.myalicdn.com/gc/taishan07_1/index.m3u8
泰山拱北石,https://gcalic.v.myalicdn.com/gc/taishan04_1/index.m3u8
泰山经石峪,https://gcalic.v.myalicdn.com/gc/hkts04_1/index.m3u8
泰山望人松,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
泰山龙潭水库,https://gcalic.v.myalicdn.com/gc/hkts06_1/index.m3u8
泰山扇子崖,https://gcalic.v.myalicdn.com/gc/hkts08_1/index.m3u8
泰山玉皇顶东,https://gcalic.v.myalicdn.com/gc/hkts10_1/index.m3u8
泰山玉皇顶西,https://gcalic.v.myalicdn.com/gc/hkts11_1/index.m3u8

鸣沙山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
月牙泉,https://gcalic.v.myalicdn.com/gc/dhyyqsm_1/index.m3u8
鸣沙山山门,https://gcalic.v.myalicdn.com/gc/dhyyqyyq_1/index.m3u8
张掖七彩丹霞,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
甘肅 - 敦煌鳴沙山,http://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8

九华山主景区,https://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8
九华山花台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
九华山拜经台,https://gcalic.v.myalicdn.com/gc/jhs02_1/index.m3u8

西递牌坊,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8
黟县西递半山亭,http://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
芦村远眺,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8
宏村月沼,https://gcalic.v.myalicdn.com/gc/yxhcyz_1/index.m3u8

安徽蕪湖 - 三公山旅遊風景區,http://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8

乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8
乌镇西市河,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
乌镇龙形田,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8
乌镇全景,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
浙江乌镇 1,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8
浙江乌镇 2,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
浙江乌镇 3,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8

普陀山,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
福建漳州醉美沙滩翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
浙江温州 - 泰順縣廊橋文化園,http://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
浙江溫州 - 雁蕩山,http://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
浙江金華 - 東陽南馬鎮花園村,http://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
浙江云和 - 梯田,http://l.cztvcloud.com/channels/lantian/SXyunhe3/720p.m3u8

西湖全景,http://temp-live.wasumedia.cn/YunShangHangZhou-43-wasu/m3u8
西溪湿地莲滩鹭影,http://temp-live.wasumedia.cn/YunShangHangZhou-1-wasu/m3u8
良渚鹿苑,http://temp-live.wasumedia.cn/YunShangHangZhou-25-wasu/m3u8
千岛湖梅峰岛,http://temp-live.wasumedia.cn/YunShangHangZhou-39-wasu/m3u8
钱塘江大桥,http://temp-live.wasumedia.cn/YunShangHangZhou-2-wasu/m3u8
德寿宫,http://temp-live.wasumedia.cn/YunShangHangZhou-35-wasu/m3u8
富春江鹳山,http://temp-live.wasumedia.cn/YunShangHangZhou-54-wasu/m3u8
亚运会大莲花,http://temp-live.wasumedia.cn/YunShangHangZhou-18-wasu/m3u8

白虎,http://temp-live.wasumedia.cn/YunShangHangZhou-66-wasu/m3u8
大熊猫,http://temp-live.wasumedia.cn/YunShangHangZhou-67-wasu/m3u8
非洲部落,http://temp-live.wasumedia.cn/YunShangHangZhou-68-wasu/m3u8
马来貘,http://temp-live.wasumedia.cn/YunShangHangZhou-69-wasu/m3u8
水獭,http://temp-live.wasumedia.cn/YunShangHangZhou-70-wasu/m3u8
细尾猿,http://temp-live.wasumedia.cn/YunShangHangZhou-65-wasu/m3u8
小浣熊,http://temp-live.wasumedia.cn/YunShangHangZhou-71-wasu/m3u8
小熊猫,http://temp-live.wasumedia.cn/YunShangHangZhou-44-wasu/m3u8
大运河 | 拱宸桥,http://temp-live.wasumedia.cn/YunShangHangZhou-11-wasu/m3u8
大运河 | 运河沿岸,http://temp-live.wasumedia.cn/YunShangHangZhou-4-wasu/m3u8
飞来峰 | 冷泉溪,http://temp-live.wasumedia.cn/YunShangHangZhou-24-wasu/m3u8

南京玄武湖公园,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8
南京牛首山,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
江苏南京长江大桥,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
江苏南京 - 梵音廣場,http://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8

徐州云龙湖风景区云龙山观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
徐州云龙湖观景台南,https://gcalic.v.myalicdn.com/gc/ylh03_1/index.m3u8

江苏无锡大剧院,https://gctxyc.liveplay.myqcloud.com/gc/hkts07_1/index.m3u8
江苏 - 无锡鼋头渚赏樱閣,http://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8

八里沟风景区桃花湾瀑布,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8
八里沟风景区天界山玻璃栈道,https://gcalic.v.myalicdn.com/gc/blg03_1/index.m3u8
云台山小寨沟,https://gcalic.v.myalicdn.com/gc/ytsxzg_1/index.m3u8
云台山百家岩,https://gcalic.v.myalicdn.com/gc/ytsbjy_1/index.m3u8
云台山红石峡,https://gcalic.v.myalicdn.com/gc/ytshsx_1/index.m3u8
云台山茱萸峰,https://gcalic.v.myalicdn.com/gc/ytszyf_1/index.m3u8
河南焦作红石峡,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
河南平頂山 - 葉縣,http://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
河南鄭東新區千璽廣場,https://gcalic.v.myalicdn.com/gc/zdxq01_1/index.m3u8

广西玉林大容山莲花山顶,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
桂林漓江景区,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
桂林象山,https://gcalic.v.myalicdn.com/gc/glxs01_1/index.m3u8
桂林阳桥,http://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
梧州长寿桥,http://gcalic.v.myalicdn.com/gc/hgsspzxdpb_1/index.m3u8
富川风雨桥,http://gctxyc.liveplay.myqcloud.com/gc/zh03_1_md.m3u8
廣西桂林 - 象鼻山,http://gctxyc.liveplay.myqcloud.com/gc/ztn_1/index.m3u8

青岛崂山双福,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
青岛崂山八水河,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
青岛崂山太清,https://gcalic.v.myalicdn.com/gc/qdls04_1/index.m3u8
青岛崂山灵旗峰,https://gcalic.v.myalicdn.com/gc/qdls01_1/index.m3u8
山东青岛艾山天文台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
山东济南章丘三涧溪村,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8
山东東營 - 北宋鎮高家村,http://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8

黄花城水长城 01,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8
黄花城水长城 02,https://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8
黄花城水长城 03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8
黄花城水长城 04,https://gcalic.v.myalicdn.com/gc/wgw04_1/index.m3u8
中央电视塔东,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
中央电视塔南,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
中央电视塔北,https://gcalic.v.myalicdn.com/gc/ztb_1/index.m3u8
恒山悬空寺全景,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8
恒宗,https://gcalic.v.myalicdn.com/gc/hsxkssqdzrqj_1/index.m3u8
八达岭长城南七楼,https://gcalic.v.myalicdn.com/gc/bgws7_1/index.m3u8
八达岭长城北十楼,https://gcalic.v.myalicdn.com/gc/bgwn10_1/index.m3u8
北京古北水镇,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
北京钟鼓楼,https://gctxyc.liveplay.myqcloud.com/gc/ztd_1_md.m3u8
国家水立方,http://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8
北京鸟巢,https://gctxyc.liveplay.myqcloud.com/gc/emsyh_1/index.m3u8
北京 - 海洋館,http://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
北京 - 懷柔黃花城水長城,http://gctxyc.liveplay.myqcloud.com/gc/wgw01_1/index.m3u8
北京 - 香山,http://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8
北京 - 新首鋼大橋,http://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
密云古水北镇,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8

黄果树六角亭瀑布,https://gcalic.v.myalicdn.com/gc/hgsspzxdpb_1/index.m3u8
黄果树银链坠潭瀑布,https://gcalic.v.myalicdn.com/gc/hgsylztpb_1/index.m3u8
贵州黄果树瀑布,https://gctxyc.liveplay.myqcloud.com/gc/nxspthhpl_1/index.m3u8
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
贵州省贞丰市双乳峰景区,https://gcalic.v.myalicdn.com/gc/xysrf_1/index.m3u8
貴州都山 - 毛尖鎮高寨水庫茶山,http://gctxyc.liveplay.myqcloud.com/gc/pts01_1/index.m3u8
貴州貴陽 - 白雲區泉湖公園,http://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
貴州遵義 - 赤水瀑布,http://gcalic.v.myalicdn.com/gc/zh02_1/index.m3u8

雪乡梦幻家园,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8
雪乡梦幻家园观景台,https://gcalic.v.myalicdn.com/gc/mdjxxmhjygjt_1/index.m3u8
雪乡大石碑,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
海南三亚湾,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
海南文昌 - 銅鼓嶺,http://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
七仙岭温泉国家森林公园,https://gcalic.v.myalicdn.com/gc/cntv549-zbzg_1/index.m3u8
三亚南山文化旅游区海上观音,https://gcalic.v.myalicdn.com/gc/syns01_1/index.m3u8

重庆巫山长江大桥,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8
重庆李子坝站轻轨,https://gctxyc.liveplay.myqcloud.com/gc/ylh04_1_md.m3u8
重庆石柱華溪村,https://gcalic.v.myalicdn.com/gc/jsh02_1/index.m3u8
重慶石柱 - 中益鄉小學,http://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8

山西運城 - 解州關帝廟,http://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8

陕西西安大雁塔,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
陕西榆林神木市大柳塔镇,https://gcalic.v.myalicdn.com/gc/zsslsfwsgz_1/index.m3u8
陕西西安蓝田县白鹿原,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8
陕西渭河湿地公园景区,https://gctxyc.liveplay.myqcloud.com/gc/zh02_1_md.m3u8
陝西漢中 - 鎮巴縣草壩景區,http://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
陝西商洛 - 丹鳳棣花古鎮,http://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
陝西西安 - 南五臺山,http://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
陝西榆林 - 綏德石魂廣場,http://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8

天津解放桥,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
天津之眼,https://gcalic.v.myalicdn.com/gc/tjhh01_1/index.m3u8
天津 - 天津海河,https://gcalic.v.myalicdn.com/gc/tjhh02_1/index.m3u8
黑龙江哈尔滨霁虹桥,https://gctxyc.liveplay.myqcloud.com/gc/hkts09_1/index.m3u8
辽宁瀋陽 - 渾河,http://gctxyc.liveplay.myqcloud.com/gc/ljgcdsc_1/index.m3u8
辽宁 - 沈阳金廊,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8

布达拉宫,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8
西藏林芝工布公园,https://gcalic.v.myalicdn.com/gc/bsszbcs_1/index.m3u8

宁夏沙坡头长河落日,https://gcalic.v.myalicdn.com/gc/nxsptdmgychlr_1/index.m3u8
宁夏沙坡头大漠孤烟,https://gcalic.v.myalicdn.com/gc/nxsptdmgy_1/index.m3u8
宁夏黄河大峡谷,https://gcalic.v.myalicdn.com/gc/hhdxg01_1/index.m3u8

江西龙虎山中间水泡,https://gcalic.v.myalicdn.com/gc/lhszjsp_1/index.m3u8
江西龙虎山山涧栈道,https://gcalic.v.myalicdn.com/gc/lhssjzd_1/index.m3u8
江西吉安 - 井岡山茅坪神山村,http://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8

天涯石,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8
南天一柱,https://gcalic.v.myalicdn.com/gc/tyhjntyz_1/index.m3u8
日月石,https://gcalic.v.myalicdn.com/gc/tyhjrys_1/index.m3u8
六盘山红军长征景区,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
仙都风景区,https://gcalic.v.myalicdn.com/gc/xdfjq01_1/index.m3u8
嵩山少林寺广场,https://gcalic.v.myalicdn.com/gc/zsslsgc_1/index.m3u8
婺源 01,https://gcalic.v.myalicdn.com/gc/wygjt1_1/index.m3u8
神农架金丝猴 01,https://gcalic.v.myalicdn.com/gc/jshhd01_1/index.m3u8
茶马古道,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8
青龙山景区,http://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
大坪渡口,http://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
中益乡小学,http://gctxyc.liveplay.myqcloud.com/gc/lpsgmjng01_1_md.m3u8
茅坪神山村,http://gctxyc.liveplay.myqcloud.com/gc/djyqyl1_1_md.m3u8
雨卜民族风情,http://gctxyc.liveplay.myqcloud.com/gc/jhs05_1_md.m3u8
龙镇丁湾村,http://gctxyc.liveplay.myqcloud.com/gc/sgns02_1_md.m3u8
隆安火龙果,http://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8
王店乡乡村,http://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8
清镇市四季,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
深圳红树林观鸟,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
徐闻博赊港,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
南马镇花园,http://gctxyc.liveplay.myqcloud.com/gc/gly01_1_md.m3u8
黄河漂流,http://gctxyc.liveplay.myqcloud.com/gc/nxspthhpl_1_md.m3u8
青海祁连山国家公园,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8

CCTV纪录片录播,#genre#
